"Int_no";"Rue_1";"Rue_2";"X";"Y"
1080;"Gaspé";"Jarry";294625,;5044539,
1081;"Gounod";"Lajeunesse";295005,;5044781,
1082;"Gounod";"Saint-Denis";294952,;5044651,
1083;"Gounod";"Saint-Hubert";295100,;5045070,
1084;"Guizot";"Lajeunesse";294518,;5044978,
1085;"Guizot";"Saint-Denis";294466,;5044851,
1086;"Jarry";"Lajeunesse";294765,;5044879,
1087;"Jarry";"Normanville";295212,;5045493,
1088;"Jarry";"Rousselot";295344,;5045670,
1089;"Jarry";"Saint-Denis";294711,;5044749,
1090;"Jarry";"Saint-Hubert";294934,;5045174,
1091;"Jean-Talon";"Lanaudière";296256,;5045054,
1092;"Jean-Talon";"Saint-Denis";295863,;5044271,
1093;"Jean-Talon";"Saint-Hubert";295962,;5044536,
1094;"Lajeunesse";"Liège";294277,;5045075,
1095;"Lajeunesse";"Villeray";295245,;5044681,
1096;"Lanaudière";"Saint-Zotique";296804,;5044709,
1097;"Leman";"Saint-Hubert";294599,;5045327,
1098;"Liège";"Saint-Denis";294226,;5044950,
1099;"Liège";"Saint-Hubert";294429,;5045402,
1100;"Mistral";"Saint-Hubert";294764,;5045251,
1101;"Rosemont / Van Horne";"Saint-Denis";297107,;5043460,
1102;"Rosemont";"Saint-Hubert";297258,;5043698,
1103;"Rosemont";"Saint-Vallier";297162,;5043545,
1104;"Saint-Denis";"Saint-Zotique";296327,;5043968,
1105;"Saint-Denis";"Villeray";295195,;5044549,
1106;"Saint-Hubert";"Villeray";295354,;5044932,
1107;"Pierre-Dupuy";"Habitats 67";301317,;5039803,
1108;"Acadie";"Beaumont";295173,;5042617,
1109;"Acadie";"Jarry";294029,;5043091,
1110;"Acadie";"Jean-Talon";294965,;5042703,
1111;"Acadie";"Liège";293551,;5043298,
1112;"Acadie";"Saint-Roch";294518,;5042889,
1113;"Ball";"Querbes";294475,;5043471,
1114;"Beaumont";"Querbes";295460,;5043059,
1115;"Bloomfield";"Jean-Talon";295112,;5043057,
1116;"Champagneur";"Jarry";294153,;5043384,
1117;"Hutchison";"Jean-Talon";295217,;5043312,
1118;"Jarry";"Querbes";294230,;5043571,
1119;"Bélanger";"Fabre";296628,;5045033,
1120;"Jean-Talon";"Querbes";295163,;5043181,
1121;"Jean-Talon";"Wiseman";295036,;5042876,
1122;"Ogilvy";"Querbes";295015,;5043243,
1123;"Querbes";"Saint-Roch";294719,;5043368,
1124;"Beaubien";"Clark";296214,;5043356,
1125;"Beaubien";"Saint-Laurent inter. Sud";296324,;5043372,
1126;"Beaubien";"Saint-Laurent inter. Nord";296253,;5043417,
1127;"Bellarmin";"Saint-Laurent";293902,;5044608,
1128;"Casgrain";"Jean-Talon";295672,;5043982,
1129;"Castelnau";"Saint-Laurent";295424,;5043945,
1130;"Clark";"Mozart";295747,;5043653,
1131;"Clark";"Jean-Talon";295516,;5043801,
1132;"Clark";"Saint-Zotique";295989,;5043499,
1133;"Esplanade";"Jarry";294408,;5044009,
